Classes,16f Consecutive Flows,16f MyKey25
baseballpitch,0.91,0.87
baseballswing,0.97,0.97
benchpress,0.89,0.9
bowl,0.96,0.95
cleanandjerk,0.87,0.86
golfswing,0.96,0.93
jumpingjacks,0.93,0.94
jumprope,0.94,0.91
pullup,0.96,0.94
pushup,0.95,0.91
situp,0.96,0.84
squat,0.91,0.89
strumguitar,1.0,1.0
tennisforehand,0.89,0.88
tennisserve,0.92,0.88
