Classes,16f Consecutive Flows,16f MyKey25
brushhair,0.65,0.74
catch,0.34,0.29
clap,0.61,0.76
climbstairs,0.51,0.57
golf,0.99,0.97
jump,0.37,0.33
kickball,0.57,0.57
pick,0.61,0.56
pour,0.58,0.76
pullup,1.0,0.99
push,0.78,0.79
run,0.34,0.2
shootball,0.21,0.07
shootbow,0.79,0.87
shootgun,0.63,0.51
sit,0.66,0.71
stand,0.51,0.61
swingbaseball,0.27,0.36
throw,0.46,0.39
walk,0.69,0.62
wave,0.61,0.51
